School Year,County,IRN,District,Homeschool Students
2017-2018 School Year,Warren,044008,Franklin City,108
2017-2018 School Year,Muskingum,048843,Franklin Local,39
2017-2018 School Year,Darke,046649,Franklin Monroe Local,30
2017-2018 School Year,Knox,047852,Fredericktown Local,63
2017-2018 School Year,Sandusky,044016,Fremont City,55
2017-2018 School Year,Washington,050492,Frontier Local,16
2017-2018 School Year,Franklin,046961,Gahanna-Jefferson City,114
2017-2018 School Year,Crawford,044024,Galion City,57
2017-2018 School Year,Gallia,065680,Gallia County Local,<10
2017-2018 School Year,Gallia,044032,Gallipolis City,27
2017-2018 School Year,Tuscarawas,050278,Garaway Local,133
2017-2018 School Year,Cuyahoga,044040,Garfield Heights City Schools,36
2017-2018 School Year,Ashtabula,044057,Geneva Area City,55
2017-2018 School Year,Ottawa,048942,Genoa Area Local,31
2017-2018 School Year,Brown,045377,Georgetown Exempted Village,<10
2017-2018 School Year,Sandusky,045385,Gibsonburg Exempted Village,19
2017-2018 School Year,Trumbull,044065,Girard City School District,12
2017-2018 School Year,Clermont,046342,Goshen Local,106
2017-2018 School Year,Champaign,046193,Graham Local,150
2017-2018 School Year,Ashtabula,045864,Grand Valley Local,61
2017-2018 School Year,Franklin,044073,Grandview Heights Schools,<10
2017-2018 School Year,Licking,045393,Granville Exempted Village,95
2017-2018 School Year,Wayne,050559,Green Local,42
2017-2018 School Year,Greene,051045,GREENE COUNTY VOCATIONAL SCHOOL DISTRICT,<10
2017-2018 School Year,Greene,047266,Greeneview Local,40
2017-2018 School Year,Highland,045401,Greenfield Exempted Village,23
2017-2018 School Year,Clark,046235,Greenon Local,63
2017-2018 School Year,Darke,044099,Greenville City,123
2017-2018 School Year,Franklin,046979,Groveport Madison Local,91
2017-2018 School Year,Butler,044107,Hamilton City,181
2017-2018 School Year,Franklin,046953,Hamilton Local,24
2017-2018 School Year,Hancock,047407,Hancock County ESC,<10
2017-2018 School Year,Hardin,047498,Hardin Northern Local,<10
2017-2018 School Year,Shelby,049791,Hardin-Houston Local,35
2017-2018 School Year,Harrison,045245,Harrison Hills City,38
2017-2018 School Year,Licking,044115,Heath City,29
2017-2018 School Year,Defiance,045419,Hicksville Exempted Village School District,17
2017-2018 School Year,Medina,048496,Highland Local,79
2017-2018 School Year,Morrow,048801,Highland Local,93
2017-2018 School Year,Franklin,047019,Hilliard City,204
2017-2018 School Year,Highland,044123,Hillsboro City,102
2017-2018 School Year,Ashland,045823,Hillsdale Local,69
2017-2018 School Year,Henry,047571,Holgate Local,20
2017-2018 School Year,Seneca,049700,Hopewell-Loudon Local,14
2017-2018 School Year,Trumbull,050161,Howland Local,25
2017-2018 School Year,Trumbull,045427,Hubbard Exempted Village,18
2017-2018 School Year,Montgomery,048751,Huber Heights City,219
2017-2018 School Year,Summit,050021,Hudson City,35
2017-2018 School Year,Ross,049502,Huntington Local,<10
2017-2018 School Year,Erie,044131,Huron City Schools,13
2017-2018 School Year,Cuyahoga,046565,Independence Local,<10
2017-2018 School Year,Jefferson,047803,Indian Creek Local,35
2017-2018 School Year,Hamilton,045435,Indian Hill Exempted Village,17
2017-2018 School Year,Logan,048082,Indian Lake Local,31
2017-2018 School Year,Tuscarawas,050286,Indian Valley Local,40
2017-2018 School Year,Lawrence,044149,Ironton City School District,19
2017-2018 School Year,Shelby,049809,Jackson Center Local,<10
2017-2018 School Year,Jackson,044156,Jackson City,68
2017-2018 School Year,Stark,049858,Jackson Local,74
2017-2018 School Year,Mahoning,048322,Jackson-Milton Local,13
2017-2018 School Year,Portage,049205,James A Garfield Local,47
2017-2018 School Year,Ashtabula,045872,Jefferson Area Local,65
2017-2018 School Year,Jefferson,047779,Jefferson County ESC,<10
2017-2018 School Year,Madison,048256,Jefferson Local,32
2017-2018 School Year,Montgomery,048686,Jefferson Township Local,15
2017-2018 School Year,Putnam,049338,Jennings Local,<10
2017-2018 School Year,Licking,047985,Johnstown-Monroe Local,76
2017-2018 School Year,Madison,048264,Jonathan Alder Local,83
2017-2018 School Year,Trumbull,050179,Joseph Badger Local,30
2017-2018 School Year,Putnam,049346,Kalida Local,<10
2017-2018 School Year,Geauga,047191,Kenston Local,<10
2017-2018 School Year,Portage,044164,Kent City,47
2017-2018 School Year,Montgomery,044180,Kettering City School District,<10
2017-2018 School Year,Lorain,048165,Keystone Local,44
2017-2018 School Year,Warren,050435,Kings Local,<10
2017-2018 School Year,Lake,047878,Kirtland Local,<10
2017-2018 School Year,Knox,047811,Knox County ESC,<10
2017-2018 School Year,Knox,051144,Knox County JVSD,<10
2017-2018 School Year,Trumbull,050245,LaBrae Local,20
2017-2018 School Year,Stark,049866,Lake Local,158
2017-2018 School Year,Wood,050690,Lake Local,23
2017-2018 School Year,Trumbull,050187,Lakeview Local,44
2017-2018 School Year,Licking,047993,Lakewood Local,71
2017-2018 School Year,Butler,046110,Lakota Local,477
2017-2018 School Year,Sandusky,049569,Lakota Local,31
2017-2018 School Year,Fairfield,044206,Lancaster City,192
2017-2018 School Year,Columbiana,045443,Leetonia Exempted Village School District,19
2017-2018 School Year,Putnam,049353,Leipsic Local,<10
2017-2018 School Year,Richland,049437,Lexington Local,63
2017-2018 School Year,Henry,047589,Liberty Center Local,33
2017-2018 School Year,Trumbull,050195,Liberty Local,31
2017-2018 School Year,Fairfield,046888,Liberty Union-Thurston Local,39
2017-2018 School Year,Hancock,047449,Liberty-Benton Local,27
2017-2018 School Year,Licking,048009,Licking Heights Local,71
2017-2018 School Year,Licking,048017,Licking Valley Local,76
2017-2018 School Year,Allen,044222,Lima City,62
2017-2018 School Year,Van Wert,050369,Lincolnview Local,19
2017-2018 School Year,Columbiana,045450,Lisbon Exempted Village,35
2017-2018 School Year,Warren,050443,Little Miami Local,284
2017-2018 School Year,Hamilton,044230,Lockland Local,<10
2017-2018 School Year,Pickaway,049080,Logan Elm Local,66
2017-2018 School Year,Hocking,044248,Logan-Hocking Local,94
2017-2018 School Year,Madison,044255,London City,43
2017-2018 School Year,Lorain,044263,Lorain City,56
2017-2018 School Year,Lorain,048108,Lorain County ESC,<10
2017-2018 School Year,Lorain,051227,Lorain County JVS,<10
2017-2018 School Year,Trumbull,050203,Lordstown Local,<10
2017-2018 School Year,Ashland,045468,Loudonville-Perrysville Exempted Village,40
2017-2018 School Year,Stark,049874,Louisville City,59
2017-2018 School Year,Hamilton,044271,Loveland City,102
2017-2018 School Year,Mahoning,048330,Lowellville Local,<10
2017-2018 School Year,Richland,049445,Lucas Local,20
2017-2018 School Year,Highland,047639,Lynchburg-Clay Local,45
2017-2018 School Year,Montgomery,048702,Mad River Local,94
2017-2018 School Year,Hamilton,044289,Madeira City,17
2017-2018 School Year,Butler,046128,Madison Local,35
2017-2018 School Year,Lake,047886,Madison Local,38
2017-2018 School Year,Richland,049452,Madison Local,55
2017-2018 School Year,Madison,048272,Madison-Plains Local,43
2017-2018 School Year,Adams,000442,Manchester Local,14
2017-2018 School Year,Summit,050005,Manchester Local,22
2017-2018 School Year,Richland,044297,Mansfield City,117
2017-2018 School Year,Cuyahoga,044305,Maple Heights City,24
2017-2018 School Year,Ashland,045831,Mapleton Local,46
2017-2018 School Year,Erie,046805,Margaretta Local,16
2017-2018 School Year,Washington,044321,Marietta City,28
2017-2018 School Year,Marion,044339,Marion City,63
2017-2018 School Year,Stark,049882,Marlington Local,150
2017-2018 School Year,Belmont,044347,Martins Ferry City,<10
2017-2018 School Year,Union,045476,Marysville Exempted Village,159
2017-2018 School Year,Warren,050450,Mason City,179
2017-2018 School Year,Stark,044354,Massillon City,80
2017-2018 School Year,Lucas,044362,Maumee City,25
2017-2018 School Year,Cuyahoga,044370,Mayfield City,23
2017-2018 School Year,Muskingum,048850,Maysville Local,22
2017-2018 School Year,Hancock,047456,McComb Local,19
2017-2018 School Year,Trumbull,050229,McDonald Local,<10
2017-2018 School Year,Champaign,045484,Mechanicsburg Exempted Village,47
2017-2018 School Year,Medina,044388,Medina City SD,158
2017-2018 School Year,Medina,062109,Medina County Joint Vocational School District,<10
2017-2018 School Year,Meigs,048520,Meigs Local,54
2017-2018 School Year,Lake,045492,Mentor Exempted Village,<10
2017-2018 School Year,Fayette,046920,Miami Trace Local,58
2017-2018 School Year,Montgomery,044396,Miamisburg City,126
2017-2018 School Year,Butler,044404,Middletown City,83
2017-2018 School Year,Muskingum,051300,Mid-East Career and Technology Centers,<10
2017-2018 School Year,Lorain,048173,Midview Local,39
2017-2018 School Year,Clermont,045500,Milford Exempted Village,236
2017-2018 School Year,Williams,050633,Millcreek-West Unity Local,15
2017-2018 School Year,Putnam,049361,Miller City-New Cleveland Local,25
2017-2018 School Year,Miami,045518,Milton-Union Exempted Village,73
2017-2018 School Year,Stark,049890,Minerva Local,82
2017-2018 School Year,Auglaize,045948,Minster Local,<10
2017-2018 School Year,Darke,046672,Mississinawa Valley Local,17
2017-2018 School Year,Summit,050039,Mogadore Local,<10
2017-2018 School Year,Wyandot,050740,Mohawk Local,17
2017-2018 School Year,Butler,139303,Monroe Local,53
2017-2018 School Year,Huron,047712,Monroeville Local,10
2017-2018 School Year,Williams,045526,Montpelier Exempted Village,25
2017-2018 School Year,Morgan,048777,Morgan Local,<10
2017-2018 School Year,Morrow,045534,Mount Gilead Exempted Village,21
2017-2018 School Year,Knox,044420,Mount Vernon City,204
2017-2018 School Year,Hamilton,044412,Mt Healthy City,65
2017-2018 School Year,Henry,044438,Napoleon Area City,32
2017-2018 School Year,Preble,049270,National Trail Local,58
2017-2018 School Year,Franklin,046995,New Albany-Plain Local,31
2017-2018 School Year,Scioto,044461,New Boston Local,<10
2017-2018 School Year,Auglaize,045963,New Knoxville Local,15
2017-2018 School Year,Montgomery,048710,New Lebanon Local School District,56
2017-2018 School Year,Perry,044479,New Lexington School District,38
2017-2018 School Year,Huron,047720,New London Local,32
2017-2018 School Year,Butler,046136,New Miami Local,<10
2017-2018 School Year,Tuscarawas,044487,New Philadelphia City,60
2017-2018 School Year,Clermont,045559,New Richmond Exempted Village,62
