School Year,County,IRN,District,Homeschool Students
2022-2023 School Year,Warren,050427,Springboro Community City,224
2022-2023 School Year,Clark,044818,Springfield City School District,165
2022-2023 School Year,Lucas,048223,Springfield Local,116
2022-2023 School Year,Mahoning,048371,Springfield Local,<10
2022-2023 School Year,Summit,050062,Springfield Local,120
2022-2023 School Year,Hamilton,044719,St Bernard-Elmwood Place City,10
2022-2023 School Year,Belmont,045997,St Clairsville-Richland City,62
2022-2023 School Year,Mercer,048587,St Henry Consolidated Local,<10
2022-2023 School Year,Auglaize,044727,St Marys City,30
2022-2023 School Year,Jefferson,044826,Steubenville City,111
2022-2023 School Year,Summit,044834,Stow-Munroe Falls City School District,83
2022-2023 School Year,Tuscarawas,050294,Strasburg-Franklin Local,32
2022-2023 School Year,Portage,049239,Streetsboro City,37
2022-2023 School Year,Cuyahoga,044842,Strongsville City,90
2022-2023 School Year,Mahoning,044859,Struthers City,17
2022-2023 School Year,Williams,050658,Stryker Local,26
2022-2023 School Year,Fulton,047092,Swanton Local,49
2022-2023 School Year,Monroe,048652,Switzerland of Ohio Local,76
2022-2023 School Year,Hamilton,044867,Sycamore Community City,109
2022-2023 School Year,Lucas,044875,Sylvania Schools,<10
2022-2023 School Year,Lawrence,047969,Symmes Valley Local,22
2022-2023 School Year,Butler,046151,Talawanda City,224
2022-2023 School Year,Summit,044883,Tallmadge City,53
2022-2023 School Year,Pickaway,049098,Teays Valley Local,155
2022-2023 School Year,Clark,046243,Tecumseh Local,149
2022-2023 School Year,Hamilton,047399,Three Rivers Local,54
2022-2023 School Year,Seneca,044891,Tiffin City Schools,57
2022-2023 School Year,Miami,045617,Tipp City Exempted Village,101
2022-2023 School Year,Lucas,044909,Toledo City,394
2022-2023 School Year,Jefferson,044917,Toronto City,12
2022-2023 School Year,Champaign,046201,Triad Local,76
2022-2023 School Year,Preble,091397,Tri-County North Local,64
2022-2023 School Year,Athens,045922,Trimble Local,22
2022-2023 School Year,Muskingum,048876,Tri-Valley Local,18
2022-2023 School Year,Darke,046680,Tri-Village Local,57
2022-2023 School Year,Wayne,050591,Triway Local,104
2022-2023 School Year,Montgomery,048694,Trotwood-Madison City,40
2022-2023 School Year,Miami,044925,Troy City,269
2022-2023 School Year,Tuscarawas,050302,Tuscarawas Valley Local,80
2022-2023 School Year,Stark,049957,Tuslaw Local,98
2022-2023 School Year,Preble,049296,Twin Valley Community Local,137
2022-2023 School Year,Summit,050070,Twinsburg City,53
2022-2023 School Year,Belmont,046011,Union Local,44
2022-2023 School Year,Ross,049536,Union-Scioto Local,44
2022-2023 School Year,Columbiana,046458,United Local,62
2022-2023 School Year,Franklin,044933,Upper Arlington City,63
2022-2023 School Year,Wyandot,045625,Upper Sandusky Exempted Village,56
2022-2023 School Year,Hardin,047522,Upper Scioto Valley Local,29
2022-2023 School Year,Champaign,044941,Urbana City,43
2022-2023 School Year,Scioto,049643,Valley Local,11
2022-2023 School Year,Montgomery,048744,Valley View Local,92
2022-2023 School Year,Hancock,047464,Van Buren Local,33
2022-2023 School Year,Van Wert,044966,Van Wert City,87
2022-2023 School Year,Montgomery,044958,Vandalia-Butler City,163
2022-2023 School Year,Hancock,047472,Vanlue Local,15
2022-2023 School Year,Erie,046821,Vermilion Local,47
2022-2023 School Year,Darke,045633,Versailles Exempted Village,44
2022-2023 School Year,Vinton,050393,Vinton County Local,114
2022-2023 School Year,Medina,044974,Wadsworth City,181
2022-2023 School Year,Fairfield,046904,Walnut Township Local,16
2022-2023 School Year,Auglaize,044982,Wapakoneta City,51
2022-2023 School Year,Trumbull,044990,Warren City,52
2022-2023 School Year,Washington,050500,Warren Local,91
2022-2023 School Year,Cuyahoga,045005,Warrensville Heights City,22
2022-2023 School Year,Fayette,045013,Washington Court House City,49
2022-2023 School Year,Lucas,048231,Washington Local,<10
2022-2023 School Year,Scioto,049650,Washington-Nile Local,26
2022-2023 School Year,Portage,049247,Waterloo Local,79
2022-2023 School Year,Fulton,045641,Wauseon Exempted Village,55
2022-2023 School Year,Warren,050468,Wayne Local,145
2022-2023 School Year,Paulding,049031,Wayne Trace Local,56
2022-2023 School Year,Auglaize,045971,Waynesfield-Goshen Local,19
2022-2023 School Year,Trumbull,050252,Weathersfield Local,<10
2022-2023 School Year,Lorain,045658,Wellington Exempted Village,50
2022-2023 School Year,Jackson,045021,Wellston City,52
2022-2023 School Year,Columbiana,045039,Wellsville Local,<10
2022-2023 School Year,Mahoning,048389,West Branch Local,97
2022-2023 School Year,Montgomery,045054,West Carrollton City,128
2022-2023 School Year,Clermont,046359,West Clermont Local,486
2022-2023 School Year,Geauga,047225,West Geauga Local,125
2022-2023 School Year,Holmes,047696,West Holmes Local,237
2022-2023 School Year,Champaign,046219,West Liberty-Salem Local,64
2022-2023 School Year,Muskingum,048884,West Muskingum Local,82
2022-2023 School Year,Brown,046060,Western Brown Local,90
2022-2023 School Year,Pike,049155,Western Local,<10
2022-2023 School Year,Huron,047746,Western Reserve Local,48
2022-2023 School Year,Mahoning,048397,Western Reserve Local,14
2022-2023 School Year,Franklin,045047,Westerville City,399
2022-2023 School Year,Pickaway,049106,Westfall Local,69
2022-2023 School Year,Cuyahoga,045062,Westlake City,48
2022-2023 School Year,Scioto,049668,Wheelersburg Local,17
2022-2023 School Year,Franklin,045070,Whitehall City,18
2022-2023 School Year,Lake,045088,Wickliffe City,35
2022-2023 School Year,Huron,045096,Willard City,67
2022-2023 School Year,Clermont,046367,Williamsburg Local,46
2022-2023 School Year,Lake,045104,Willoughby-Eastlake City,133
2022-2023 School Year,Clinton,045112,Wilmington City,192
2022-2023 School Year,Portage,045666,Windham Exempted Village,11
2022-2023 School Year,Hamilton,044081,Winton Woods City,126
2022-2023 School Year,Washington,050518,Wolf Creek Local,14
2022-2023 School Year,Sandusky,049577,Woodmore Local,54
2022-2023 School Year,Summit,049973,Woodridge Local,50
2022-2023 School Year,Wayne,045120,Wooster City,99
2022-2023 School Year,Franklin,045138,Worthington City,212
2022-2023 School Year,Crawford,046524,Wynford Local,54
2022-2023 School Year,Hamilton,045146,Wyoming City,17
2022-2023 School Year,Greene,045153,Xenia Community City,422
2022-2023 School Year,Greene,045674,Yellow Springs Exempted Village,29
2022-2023 School Year,Mahoning,045161,Youngstown City,77
2022-2023 School Year,Ross,049544,Zane Trace Local,45
2022-2023 School Year,Muskingum,045179,Zanesville City,104
